ekatte;postal_code;type;name;name_latin;municipality;municipality_latin;district;district_latin
15504;2348;с.;Големо Бучино;Golemo Buchino;Перник;Pernik;Перник;Pernik
15518;2204;с.;Големо Малово;Golemo Malovo;Драгоман;Dragoman;София;Sofia
15535;2635;с.;Големо село;Golemo selo;Бобов дол;Bobov dol;Кюстендил;Kyustendil
15552;5573;с.;Голец;Golets;Угърчин;Ugarchin;Ловеч;Lovech
15566;7547;с.;Голеш;Golesh;Кайнарджа;Kaynardzha;Силистра;Silistra
15572;2254;с.;Голеш;Golesh;Годеч;Godech;София;Sofia
15583;2818;с.;Голешово;Goleshovo;Сандански;Sandanski;Благоевград;Blagoevgrad
15597;9114;с.;Голица;Golitsa;Долни чифлик;Dolni chiflik;Варна;Varna
15607;6793;с.;Голобрад;Golobrad;Ардино;Ardino;Кърджали;Kardzhali
15610;6386;с.;Голобрадово;Golobradovo;Стамболово;Stambolovo;Хасково;Haskovo
15457;2690;с.;Голям Върбовник;Golyam Varbovnik;Бобов дол;Bobov dol;Кюстендил;Kyustendil
15727;6932;с.;Голям Девесил;Golyam Devesil;Крумовград;Krumovgrad;Кърджали;Kardzhali
15730;8757;с.;Голям Дервент;Golyam Dervent;Елхово;Elhovo;Ямбол;Yambol
15744;6245;с.;Голям дол;Golyam dol;Братя Даскалови;Bratya Daskalovi;Стара Загора;Stara Zagora
15758;5741;с.;Голям извор;Golyam izvor;Тетевен;Teteven;Ловеч;Lovech
15761;7459;с.;Голям извор;Golyam izvor;Самуил;Samuil;Разград;Razgrad
