section_id;registered_voters
030900005;185
030900006;136
030900007;324
030900008;346
030900009;82
030900010;197
030900011;260
030900012;576
030900013;289
030900014;65
030900015;225
030900016;196
030900017;427
030900018;80
030900019;34
030900020;604
030900021;188
030900022;154
030900023;346
030900024;319
030900025;271
031300001;654
031300002;662
031300003;841
031300004;905
031300005;949
031300006;1022
031300007;841
031300008;578
031300009;691
031300010;506
031300011;529
031300012;562
031300013;587
031300014;685
031300015;698
031300016;168
031300017;64
031300018;198
031300019;38
031300020;441
031300021;149
031300022;559
031300023;620
031300024;815
031300025;766
031300026;153
031300027;601
031300028;299
031300029;42
031400001;780
031400002;1048
031400003;955
031400004;543
031400005;837
031400006;722
031400007;729
031400008;763
031400009;678
031400010;377
031400011;242
031600001;505
031600002;425
031600003;600
031600004;747
031600005;583
031600006;564
031600007;510
031600008;464
031600009;176
031600010;171
031600011;294
031600012;175
031600013;55
031600014;89
031600015;456
031600016;670
031600017;50
031600018;478
031600019;507
031600020;756
031600021;842
031600022;743
031600023;571
031600024;322
031600025;558
031600026;668
031600027;416
032400001;659
032400002;504
032400003;569
032400004;697
032400005;561
032400006;818
032400007;725
032400008;533
032400009;529
032400010;750
032400011;725
032400012;987
032400013;710
032400014;706
032400015;621
032400016;608
032400017;915
032400018;326
032400019;683
032400020;137
032400021;187
032400022;51
032400023;127
032400024;96
032400025;97
032400026;230
032400027;43
032400028;694
032400029;366
032400030;513
032400031;216
032400032;667
032400033;389
032400034;24
032400035;326
032400036;301
032400037;669
032400038;372
032400039;142
032400040;215
032400041;229
032400042;230
032400043;35
032600001;847
032600002;729
032600003;878
032600004;872
032600005;710
032600006;590
032600007;515
032600008;220
032600009;145
032600010;110
032600011;313
032600012;178
032600013;373
040400001;603
040400002;923
040400003;801
040400004;548
040400005;70
040400006;384
040400007;478
040400008;513
040400009;572
040400010;749
040400012;774
040400013;648
040400014;480
040400015;465
040400016;440
040400017;400
040400018;425
040400019;517
040400020;608
040400021;612
040400022;512
040400023;415
040400024;668
040400025;829
040400026;391
040400027;467
040400028;414
040400029;429
040400030;640
040400031;558
